# Vanilla good base prices (common/goods/00_goods.txt). Single source for build.ps1.
# good<TAB>price
ammunition	50
small_arms	60
artillery	70
tanks	80
aeroplanes	80
manowars	70
ironclads	80
grain	20
fish	20
fabric	20
wood	20
groceries	30
clothes	30
furniture	30
paper	30
services	30
transportation	30
electricity	30
merchant_marine	50
clippers	60
steamers	70
silk	40
dye	40
sulfur	50
coal	30
iron	40
lead	40
hardwood	40
rubber	40
oil	40
engines	60
steel	50
glass	40
fertilizer	30
tools	40
explosives	50
porcelain	70
meat	30
fruit	30
liquor	30
wine	50
tea	50
coffee	50
sugar	30
tobacco	40
opium	50
automobiles	100
telephones	70
radios	80
luxury_clothes	60
luxury_furniture	60
gold	100
fine_art	200
