Game Date 	Time Unit 	Seconds
1836_03_01	Month	4.324896
36_01_01	Day	0.063722
1836_01_02	Day	0.094605
1836_01_02	Day	0.053293
1836_01_02	Day	0.032507
1836_01_02	Day	0.029757
1836_01_03	Day	0.054239
1836_01_03	Day	0.041588
1836_01_03	Day	0.041589
1836_01_03	Day	0.028158
1836_01_04	Day	0.051323
1836_01_04	Day	0.042135
1836_01_04	Day	0.032324
1836_01_04	Day	0.074067
1836_01_05	Day	0.052344
1836_01_05	Day	0.045768
1836_01_05	Day	0.037163
1836_01_05	Day	0.027627
1836_01_06	Day	0.182613
1836_01_06	Day	0.056692
1836_01_06	Day	0.027675
1836_01_06	Day	0.026609
1836_01_07	Day	0.051042
1836_01_07	Day	0.055038
1836_01_07	Day	0.029153
1836_01_07	Day	0.031903
1836_01_08	Day	0.055751
1836_01_08	Day	0.041832
1836_01_08	Day	0.026717
1836_01_08	Day	0.024814
1836_01_09	Day	0.047799
1836_01_09	Day	0.035620
1836_01_09	Day	0.030315
1836_01_09	Day	0.027253
1836_01_10	Day	0.068576
1836_01_10	Day	0.035257
1836_01_10	Day	0.026159
1836_01_10	Day	0.026014
1836_01_11	Day	0.052886
1836_01_11	Day	0.037761
1836_01_11	Day	0.027463
1836_01_11	Day	0.031466
1836_01_12	Day	0.053273
1836_01_12	Day	0.038837
1836_01_12	Day	0.024205
1836_01_12	Day	0.020829
1836_01_13	Day	0.163240
1836_01_13	Day	0.073691
1836_01_13	Day	0.023229
1836_01_13	Day	0.025738
1836_01_14	Day	0.053870
1836_01_14	Day	0.037906
1836_01_14	Day	0.034961
1836_01_14	Day	0.029646
1836_01_15	Day	0.048944
1836_01_15	Day	0.034810
1836_01_15	Day	0.026939
1836_01_15	Day	0.030595
1836_01_16	Day	0.045044
1836_01_16	Day	0.028490
1836_01_16	Day	0.034119
1836_01_16	Day	0.022771
1836_01_17	Day	0.045181
1836_01_17	Day	0.038095
1836_01_17	Day	0.026425
1836_01_17	Day	0.025573
1836_01_18	Day	0.045126
1836_01_18	Day	0.032051
1836_01_18	Day	0.020212
1836_01_18	Day	0.044126
1836_01_19	Day	0.040787
1836_01_19	Day	0.033480
1836_01_19	Day	0.022894
1836_01_19	Day	0.023518
1836_01_20	Day	0.161574
1836_01_20	Day	0.078977
1836_01_20	Day	0.047370
1836_01_20	Day	0.032123
1836_01_21	Day	0.051648
1836_01_21	Day	0.039335
1836_01_21	Day	0.023209
1836_01_21	Day	0.022907
1836_01_22	Day	0.047283
1836_01_22	Day	0.036700
1836_01_22	Day	0.025335
1836_01_22	Day	0.023575
1836_01_23	Day	0.062849
1836_01_23	Day	0.033654
1836_01_23	Day	0.039288
1836_01_23	Day	0.032564
1836_01_24	Day	0.055227
1836_01_24	Day	0.036302
1836_01_24	Day	0.022764
1836_01_24	Day	0.027535
1836_01_25	Day	0.041876
1836_01_25	Day	0.041747
1836_01_25	Day	0.023679
1836_01_25	Day	0.025388
1836_01_26	Day	0.044369
1836_01_26	Day	0.036695
1836_01_26	Day	0.027952
1836_01_26	Day	0.021102
1836_01_27	Day	0.165167
1836_01_27	Day	0.074204
1836_01_27	Day	0.022385
1836_01_27	Day	0.025380
1836_01_28	Day	0.049244
1836_01_28	Day	0.033748
1836_01_28	Day	0.018236
1836_01_28	Day	0.016602
1836_01_29	Day	0.040318
1836_01_29	Day	0.035086
1836_01_29	Day	0.017200
1836_01_29	Day	0.018711
1836_01_30	Day	0.044481
1836_01_30	Day	0.052924
1836_01_30	Day	0.021710
1836_01_30	Day	0.019415
1836_01_31	Day	0.039053
1836_01_31	Day	0.030117
1836_01_31	Day	0.020595
1836_01_31	Day	0.019311
1836_02_01	Day	0.140374
1836_02_01	Day	0.031836
1836_02_01	Day	0.022194
1836_02_01	Day	0.040086
1836_02_02	Day	0.043347
1836_02_02	Day	0.035133
1836_02_02	Day	0.021548
1836_02_02	Day	0.019101
1836_02_03	Day	0.163008
1836_02_03	Day	0.078289
1836_02_03	Day	0.021506
1836_02_03	Day	0.022526
1836_02_04	Day	0.045849
1836_02_04	Day	0.036609
1836_02_04	Day	0.019220
1836_02_04	Day	0.022680
1836_02_05	Day	0.051613
1836_02_05	Day	0.025745
1836_02_05	Day	0.023011
1836_02_05	Day	0.022510
1836_02_06	Day	0.059368
1836_02_06	Day	0.029974
1836_02_06	Day	0.018958
1836_02_06	Day	0.023253
1836_02_07	Day	0.042540
1836_02_07	Day	0.028045
1836_02_07	Day	0.021262
1836_02_07	Day	0.019134
1836_02_08	Day	0.044297
1836_02_08	Day	0.032942
1836_02_08	Day	0.017902
1836_02_08	Day	0.022310
1836_02_09	Day	0.044485
1836_02_09	Day	0.038198
1836_02_09	Day	0.029581
1836_02_09	Day	0.017970
1836_02_10	Day	0.173593
1836_02_10	Day	0.067414
1836_02_10	Day	0.020264
1836_02_10	Day	0.019790
1836_02_11	Day	0.041485
1836_02_11	Day	0.028692
1836_02_11	Day	0.019077
1836_02_11	Day	0.019259
1836_02_12	Day	0.047898
1836_02_12	Day	0.030429
1836_02_12	Day	0.021389
1836_02_12	Day	0.019686
1836_02_13	Day	0.046757
1836_02_13	Day	0.049166
1836_02_13	Day	0.019873
1836_02_13	Day	0.019262
1836_02_14	Day	0.044032
1836_02_14	Day	0.038180
1836_02_14	Day	0.036406
1836_02_14	Day	0.025659
1836_02_15	Day	0.062679
1836_02_15	Day	0.042939
1836_02_15	Day	0.019287
1836_02_15	Day	0.026125
1836_02_16	Day	0.052623
1836_02_16	Day	0.029323
1836_02_16	Day	0.024341
1836_02_16	Day	0.020165
1836_02_17	Day	0.173686
1836_02_17	Day	0.082041
1836_02_17	Day	0.024720
1836_02_17	Day	0.019382
1836_02_18	Day	0.047637
1836_02_18	Day	0.043419
1836_02_18	Day	0.022895
1836_02_18	Day	0.035068
1836_02_19	Day	0.044616
1836_02_19	Day	0.038934
1836_02_19	Day	0.025553
1836_02_19	Day	0.044529
1836_02_20	Day	0.042919
1836_02_20	Day	0.032018
1836_02_20	Day	0.026253
1836_02_20	Day	0.021464
1836_02_21	Day	0.039825
1836_02_21	Day	0.044149
1836_02_21	Day	0.016389
1836_02_21	Day	0.028798
1836_02_22	Day	0.053489
1836_02_22	Day	0.027535
1836_02_22	Day	0.018987
1836_02_22	Day	0.021800
1836_02_23	Day	0.047456
1836_02_23	Day	0.027994
1836_02_23	Day	0.016859
1836_02_23	Day	0.026204
1836_02_24	Day	0.166794
1836_02_24	Day	0.070328
1836_02_24	Day	0.025882
1836_02_24	Day	0.023570
1836_02_25	Day	0.048243
1836_02_25	Day	0.032288
1836_02_25	Day	0.016638
1836_02_25	Day	0.016775
1836_02_26	Day	0.048931
1836_02_26	Day	0.035705
1836_02_26	Day	0.021180
1836_02_26	Day	0.021619
1836_02_27	Day	0.069214
1836_02_27	Day	0.030178
1836_02_27	Day	0.023124
1836_02_27	Day	0.021248
1836_02_28	Day	0.044274
1836_02_28	Day	0.029238
1836_02_28	Day	0.018658
1836_02_28	Day	0.024174
1836_03_01	Day	0.140389
